"pt"	"lb"	"mappings"
Garden rock	Eruca vesicaria	Arugula | Eruca vesicaria | Garden rock
Garlic	Allium sativum	Allium sativum | Garlic
Ginger	Zingiber officinale	Ginger | Jiang | Zingiber officinale
Ginkgo	Ginkgo biloba	Baiguo | Ginkgo | Ginkgo biloba | Icho | Maidenhair-tree
Glossy buckthorn	Frangula alnus	Alder buckthorn | Frangula | Frangula alnus | Glossy buckthorn
Goat's-rue	Galega officinalis	French lilac | Galega | Galega officinalis | Goat's-rue
Goji berry	Lycium barbarum	Barbary matrimony-vine | Barbary wolfberry | Chinese wolfberry | Goji berry | Lycium barbarum | Matrimony-vine | Ning xia gou qi
Goose-grass	Galium aparine	Catchweed bedstraw | Cleavers | Galium aparine | Goose-grass
Grapefruit	Citrus paradisi	Citrus paradisi | Grapefruit
Grapevine	Vitis vinifera	Common grapevine | European grape | Grape | Grapevine | Vitis vinifera
Green tea	Camellia sinensis	Black tea | Camellia sinensis | Green tea | Oolong tea | Tea | White Tea
Guarana	Paullinia cupana	Guarana | Paullinia cupana
Guelder rose	Viburnum opulus	Crampbark | Guelder rose | Viburnum opulus
Guinea-pepper	Aframomum melegueta	Aframomum melegueta | Guinea-pepper
Hairyrockrose	Cistus creticus	Cistus creticus | Hairyrockrose
Hare's-ear	Bupleurum chinense	Bei chai hu | Bupleurum | Bupleurum chinense | Chai hu | Chinese thoroughwax | Hare's-ear
Hazelnut tree	Corylus avellana	Cobnut | Corylus avellana | European filbert | European hazel | Giant filbert | Hazel | Hazelnut tree
Hedgemustard	Sisymbrium officinale	Hedgemustard | Sisymbrium officinale
Hemp extract	Cannabis sativa	Cannabis sativa | Cannibidiol | Da ma | Hemp | Hemp extract | Marijuana
He shou wu	Reynoutria multiflora	Fleeceflower | Fo-ti | He shou wu | Reynoutria multiflora
Horehound	Marrubium vulgare	Horehound | Marrubium vulgare | White horehound
Horse-chestnut	Aesculus hippocastanum	Aesculus hippocastanum | Common horse chestnut | Horse-chestnut
Huang lian	Coptis chinensis	Chinese goldthread | Coptis chinensis | Golden thread | Huang lian | Huanglian
Hyssop	Hyssopus officinalis	Hyssop | Hyssopus officinalis
Indian bdellium-tree	Commiphora mukul	Commiphora mukul | Guggul | Gugul | Indian bdellium-tree
Ivy leaf	Hedera helix	Engelse hedera | English ivy | Hedera helix | Ivy leaf
Jackass bitters	Neurolaena lobata	Gavilana | Jackass bitters | Neurolaena lobata
Japanese aralia	Aralia spinosa	Aralia spinosa | Cong mu | Japanese angelica-tree | Japanese aralia
Juniper	Juniperus communis	Common juniper | Juniper | Juniperus communis
Karcura	Curcuma zedoaria	Curcuma zedoaria | Karcura
