"pt"	"lb"	"mappings"
Xiang fu zi	Cyperus rotundus	Coco-grass | Cyperus rotundus | Nut-grass | Nutgrass | Nutgrass alingale | Nut sedge | Purple nut sedge | Red nut sedge | Suo cao | Xiangfu | Xiang fu zi
Xiao Fan Tian Hua	Urena lobata	Di Tao Hua | Urena lobata | Xiao Fan Tian Hua
Xing	Prunus armeniaca	Apricot | Prunus armeniaca | Siberian apricot | Xing
Xuan guo wen zi cao	Filipendula ulmaria	Dropwort | Filipendula ulmaria | Meadowsweet | Queen-of-the-meadow | Xuan guo wen zi cao
Yarrow	Achillea millefolium	Achillea millefolium | Common yarrow | Milfoil | Yarrow
Yawroot	Stillingia sylvatica	Queen's-delight | Queen's-root | Stillingia | Stillingia sylvatica | Yawroot
Yellow bedstraw	Galium verum	Galium verum | Lady's bedstraw | Yellow bedstraw
Yellow chasteweed	Helichrysum arenarium	Everlasting | Helichrysum arenarium | Immortelle | Sandy everlasting | Yellow chasteweed
Yellow dock	Rumex crispus	Curly dock | Rumex crispus | Sour dock | Yellow dock
Yellow gentian	Gentiana lutea	Bitterwort | Gentian | Gentiana lutea | Gentian-root | Yellow gentian
Yellow root	Hydrastis canadensis	Goldenseal | Hydrastis canadensis | Orangeroot | Yellow-puccoon | Yellow root
Yerba mate	Ilex paraguariensis	Brazilian tea | Ilex paraguariensis | Mate | Paraguayan tea | Paraguay tea | St Bartholomew's tea | Yerba mate
Yerba-santa	Eriodictyon californicum	Eriodictyon californicum | Mountain balm | Yerba-santa
Yin yang huo	Epimedium grandif	Barrenwort | Epimedium grandif | Epimedium grandiflorum | Horny goat weed | Japanese epimedium | Yin yang huo
Yin yang huo	Epimedium grandiflorum	Barrenwort | Epimedium grandif | Epimedium grandiflorum | Horny goat weed | Japanese epimedium | Yin yang huo
Yohimbe	Pausinystalia johimbe	Pausinystalia johimbe | Yohimbe
Yucca	Yucca filamentosa	Adam's-needle | Bear-grass | Needle-palm | Spoon-leaf yucca | Yucca | Yucca filamentosa
Yunzhi	Trametes versicolor	Kawaratake | Trametes versicolor | Turkey Tail | Yunzhi
zang bian da huang	Rheum	Himalayan rhubarb | Himalaya-Rhabarber | Indian rhubarb | Rheum | Rheum australe | zang bian da huang
zang bian da huang	Rheum australe	Himalayan rhubarb | Himalaya-Rhabarber | Indian rhubarb | Rheum | Rheum australe | zang bian da huang
Zhangguogancao	Glycyrrhiza inflata	Glycyrrhiza inflata | Licorice | Zhangguogancao
Zhang ye da huang	Rheum palmatum	Chinese Rhubarb | Ornamental rhubarb | Rheum palmatum | Rhubarb | Zhang ye da huang
Zhu sha gen	Ardisia crenata	Ardisia crenata | Coralberry | Coralberry tree | Coral bush | Hen's-eyes | Koraalbessieboom | Spiceberry | Zhu sha gen
