"name"	"common_name"
CENTAURIUM ERYTHRAEA RAFN	""
CENTAURIUM CENTAURIUM WHOLE	""
GENTIANA CENTAURIUM WHOLE	""
ERYTHRAEA RHODENSIS WHOLE	""
CENTAURIUM CORYMBOSUM WHOLE	""
ERYTHRAEA VULGARIS WHOLE	""
ERYTHRAEA LOMAE WHOLE	""
ERYTHRAEA GERMANICA WHOLE	""
CENTAURIUM LATIFOLIUM WHOLE	""
ERYTHRAEA CORYMBOSA WHOLE	""
CENTAURIUM VULGARE WHOLE	""
CENTAURIUM CASPICUM WHOLE	""
CHIRONIA VAILLANTII WHOLE	""
ERYTHRAEA GERARDII WHOLE	""
ERYTHRAEA CASPICA WHOLE	""
CHIRONIA INAPERTA WHOLE	""
ERYTHRAEA GRACILIS WHOLE	""
CENTAURIUM ANATOLICUM WHOLE	""
BRANCHED CENTAURY WHOLE	""
CENTAURIUM GRACILE WHOLE	""
GENTIANA RAMOSISSIMA WHOLE	""
ERYTHRAEA INAPERTA WHOLE	""
ERYTHRAEA PYRENAICA WHOLE	""
ERYTHRAEA HERMANNII WHOLE	""
ERYTHRAEA ANATOLICA WHOLE	""
ERYTHRAEA NANA WHOLE	""
CICENDIA PULCHELLA WHOLE	""
HIPPOCENTAUREA EMARGINATA WHOLE	""
ERYTHRAEA ALTAICA WHOLE	""
HIPPION PULCHELLUM WHOLE	""
CHIRONIA INTERMEDIA WHOLE	""
ERYTHRAEA PULCHELLA WHOLE	""
HIPPOCENTAUREA INAPERTA WHOLE	""
MICROCALA PULCHELLA WHOLE	""
CENTAURIUM RAMOSISSIMUM WHOLE	""
ERYTHRAEA PUMILA WHOLE	""
HIPPOCENTAUREA PULCHELLA WHOLE	""
CENTAURIUM ALBIFLORUM WHOLE	""
SABATIA PULCHELLA WHOLE	""
CENTAURIUM HERMANNII WHOLE	""
GONIPIA PULCHELLA WHOLE	""
ERYTHRAEA EMARGINATA WHOLE	""
ERYTHRAEA SPARSIFLORA WHOLE	""
CHIRONIA NANA WHOLE	""
CHIRONIA PULCHELLA WHOLE	""
CHIRONIA RAMOSISSIMA WHOLE	""
CENTAURIUM PULCHELLUM WHOLE	""
CHIRONIA MINOR WHOLE	""
CHIRONIA GERARDII WHOLE	""
CENTAURIUM PULCHELLUM (SW.) DRUCE	""
GENTIANA PULCHELLA WHOLE	""
ERYTHRAEA ALBIFLORA WHOLE	""
ERYTHRAEA ARENARIA WHOLE	""
ERYTHRAEA VARIABILIS WHOLE	""
ERYTHRAEA MORIERI WHOLE	""
SPUR-VALERIAN WHOLE	""
VALERIANA HORTENSIS WHOLE	""
VALERIANA RUBRA WHOLE	""
JUPITER'S-BEARD WHOLE	""
RED VALERIAN WHOLE	""
FOX-BRUSH WHOLE	""
CENTRANTHUS LATIFOLIUS WHOLE	""
CENTRANTHUS RUBER (L.) DC.	""
CENTRANTHUS MARITIMUS WHOLE	""
CENTRANTHUS RUBER WHOLE	""
VALERIANA ALBA WHOLE	""
CENTRANTHUS RUBER [WHO-DD]	""
FOX'S-BRUSH WHOLE	""
KISS-ME-QUICK WHOLE	""
CENTRANTHUS MARINUS WHOLE	""
CRUMINIUM VIRGINIANUM WHOLE	""
CLITORIA VIRGINIANA WHOLE	""
CENTROSEMA VIRGINIANUM WHOLE	""
DOLICHOS ARISTATUS WHOLE	""
SPURRED BUTTERFLY PEA WHOLE	""
CLITORIA AMOENA WHOLE	""
CENTROSEMA VIRGINIANUM (L.) BENTH.	""
GLYCINE PUGIUNCULUS WHOLE	""
BRADBURYA BIFLORA WHOLE	""
CENTROSEMA CONJUGATUM WHOLE	""
STEGANOTROPIS CONJUGATA WHOLE	""
CENTROSEMA DECUMBENS WHOLE	""
CLITORIA OBLONGA WHOLE	""
VEXILLARIA VIRGINIANA WHOLE	""
NAUCHEA VIRGINIANA WHOLE	""
CLITORIA GEMINA WHOLE	""
BRADBURYA DECUMBENS WHOLE	""
CENTROSEMA BIFLORUM WHOLE	""
BRADBURYA CONJUGATA WHOLE	""
CENTROSEMA SCABRIUSCULUM WHOLE	""
CLITORIA GLADIATA WHOLE	""
DOLICHOS SCABRIUSCIDUS WHOLE	""
CLITORIA CALCARIGERA WHOLE	""
BRADBURYA VIRGINIANA WHOLE	""
CLITORIA ALABAMENSIS WHOLE	""
CEPHALANTHUS OCCIDENTALIS L.	""
CEPHALANTHUS ACUMINATUS WHOLE	""
CEPHALANTHUS OPPOSITIFOLIUS WHOLE	""
BUTTONBUSH WHOLE	""
COMMON BUTTONBUSH WHOLE	""
CEPHALANTHUS PUBESCENS WHOLE	""
CEPHALANTHUS ANGUSTIFOLIUS WHOLE	""
CEPHALANTHUS OCCIDENTALIS WHOLE	""
CEPHALANTHUS BERLANDIERI WHOLE	""
CEPHALANTHUS OBTUSIFOLIUS WHOLE	""
CEPHALANTHUS HANSENII WHOLE	""
CAROB [HOC]	""
CAROUBIER WHOLE	""
CHANG JIAO DOU WHOLE	""
ALGAROBA WHOLE (CERATONIA SILIQUA)	""
ST.JOHN'S BREAD WHOLE	""
CAROB TREE WHOLE	""
ALGARROBA BEAN WHOLE	""
ST. JOHN'S BREAD WHOLE	""
CERATONIA SILIQUA L.	""
LOCUST BEAN WHOLE	""
CERATONIA SILIQUA [WHO-DD]	""
CERATONIA INERMIS WHOLE	""
CERATONIA CORIACEA WHOLE	""
CAROB WHOLE	""
CERATONIA SILIQUA WHOLE	""
LOCUST TREE WHOLE	""
CERCIS ELLIPSOIDEA WHOLE	""
SILIQUASTRUM CORDATUM WHOLE	""
CERCIS DILATATA WHOLE	""
CERCIS GEORGIANA WHOLE	""
CERCIS CANADENSIS WHOLE	""
REDBUD WHOLE	""
SILIQUASTRUM CANADENSE WHOLE	""
EASTERN REDBUD WHOLE	""
CERCIS CANADENSIS L.	""
CERANTHE ACUTA WHOLE	""
HONEYWORT WHOLE	""
CERINTHE APERTA WHOLE	""
CERINTHE ACUTA WHOLE	""
CERINTHE LONGIFLORA WHOLE	""
CERINTHE VERSICOLOR WHOLE	""
CERINTHE MAJOR L.	""
CERINTHE STRIGOSA WHOLE	""
CERINTHE ASPERA WHOLE	""
CERINTHE GYMNANDRA WHOLE	""
CERINTHE GLAUCA WHOLE	""
CERINTHE MAJOR WHOLE	""
CHELIDONIUM HAEMATODES WHOLE	""
CHELIDONIUM MAJUS [HPUS]	""
CHELIDONIUM LACINIATUM WHOLE	""
CHELIDONIUM MAJUS [WHO-DD]	""
BAI QU CAI WHOLE	""
CHELIDONIUM UMBELLIFERUM WHOLE	""
CHELIDONIUM MAJUS WHOLE	""
CHELIDONIUM LUTEUM WHOLE	""
CHELIDONIUM MAJUS EXTRACT [WHO-DD]	""
GREATER CELANDINE WHOLE	""
CHELIDONIUM OLIDUM WHOLE	""
CELANDINE [HOC]	""
CHELIDONIUM MURALE WHOLE	""
CHELIDONIUM QUERCIFOLIUM WHOLE	""
CHELIDONIUM RUDERALE WHOLE	""
CELANDINE WHOLE	""
WART WEED WHOLE	""
SWALLOW WORT WHOLE	""
CHIMAPHILA UMBELLATA [WHO-DD]	""
PIPSISSEWA (CHIMAPHILA UMBELLATA) [HOC]	""
PYROLA UMBELLATA WHOLE	""
CHIMAPHILA UMBELLATA [HPUS]	""
COMMON PIPSISSEWA WHOLE	""
PYROLA CORYMBOSA WHOLE	""
CHIMAPHILA UMBELLATA (L.) W.P.C.BARTON	""
PIPSISEWA WHOLE	""
CHIMAPHILA UMBELLATA	""
PYROLA FRUTESCENS WHOLE	""
PRINCE'S PINE WHOLE	""
SAN XING XI DONG CAO WHOLE	""
CHIMAPHILA UMBELLATA WHOLE	""
CHIMAPHILA UMBELLATA (L.) W. BARTRAM	""
PIPSISSEWA WHOLE	""
GROUND HOLLY WHOLE	""
CHIMAPHILA CYMOSA WHOLE	""
CHIONANTHUS VERNUS WHOLE	""
CHIONANTHUS TRIFLORUS WHOLE	""
CHIONANTHUS MARITIMUS WHOLE	""
CHIONANTHUS HETEROPHYLA WHOLE	""
FRINGETREE WHOLE	""
CHIONANTHUS VIRGINICUS WHOLE	""
CHIONANTHUS LATIFOLIUS WHOLE	""
FRINGE TREE [HOC]	""
WHITE FRINGETREE WHOLE	""
CHIONANTHUS ROSEUS WHOLE	""
CHIONANTHUS LONGIFOLIUS WHOLE	""
CHIONANTHUS TRIFIDUS WHOLE	""
CHIONANTHUS OBOVATUS WHOLE	""
CHIONANTHUS COTINIFOLIUS WHOLE	""
CHIONANTHUS ANGUSTIFOLIUS WHOLE	""
CHIONANTHUS LUTEUS WHOLE	""
CHIONANTHUS VIRGINICUS L.	""
CHIONANTHUS VIRGINICUS [WHO-DD]	""
CHIONANTHUS VERNALIS WHOLE	""
CHIONANTHUS FRAGRANS WHOLE	""
LIGUSTRUM COTINIFOLIUM WHOLE	""
LINOCIERA COTINIFOLIA WHOLE	""
JASMINUM SYRIACUM WHOLE	""
CHRYSOJASMINUM FRUTICANS (L.) BANFI	""
JASMINUM LUTEUM WHOLE	""
JASMINUM FRUTICANS WHOLE	""
JASMINUM FRUTESCENS WHOLE	""
CHRYSOJASMINUM FRUTICANS WHOLE	""
JASMINUM FRUTICOSUM WHOLE	""
JASMINUM MARIAE WHOLE	""
CHRYSOPSIS MARIANA WHOLE	""
DIPLOPAPPUS MARIANUS WHOLE	""
INULA MARIANA WHOLE	""
DIPLOGON MARIANUM WHOLE	""
MARYLAND GOLDENASTER WHOLE	""
INULA GLANDULOSA WHOLE	""
CHRYSOPSIS MARIANA (L.) ELLIOTT	""
HETEROTHECA MARIANA WHOLE	""
SUCCORY WHOLE	""
CHICORY [HOC]	""
CICHORIUM BALEARICUM WHOLE	""
CICHORIUM GLAUCUM WHOLE	""
BLUE DAISY WHOLE	""
CICHORIUM CALLOSUM WHOLE	""
CICHORIUM INTYBUS WHOLE	""
CICHORIUM GLABRATUM WHOLE	""
COMMON CHICORY WHOLE	""
BUNK WHOLE	""
CICHORIUM INTYBUS WHOLE PLANT	""
CICHORIUM INTYBUS L.	""
CHICKORY WHOLE	""
WITLOOF WHOLE	""
CICHORIUM BYZANTHINUM WHOLE	""
BARBE-DE-CAPUCHIN WHOLE	""
CICHORIUM HIRSUTUM WHOLE	""
COFFEEWEED WHOLE	""
RADICCHIO WHOLE	""
CHICORY WHOLE	""
BLUE SAILORS WHOLE	""
FRENCH ENDIVE WHOLE	""
CICHORIUM INTYBUS WHOLE PLANT [WHO-DD]	""
CINNAMOMUM MUTABILE WHOLE	""
CINNAMOMUM BURMANNI [WHO-DD]	""
LAURUS DULCIS WHOLE	""
LAURUS NITIDA WHOLE	""
CINNAMOMUM AMMANNII WHOLE	""
CINNAMOMUM CHINENSE WHOLE	""
CINNAMOMUM DULCE WHOLE	""
CINNAMOMUM MINDANAENSE WHOLE	""
CINNAMOMUM NITIDUM WHOLE	""
CINNAMOMUM HAINANENSE WHOLE	""
CINNAMOMUM BURMANNI WHOLE	""
CINNAMOMUM MACROSTEMON WHOLE	""
PERSEA DULCIS WHOLE	""
LAURUS BURMANNI WHOLE	""
CINNAMOMUM THUNBERGII WHOLE	""
CINNAMOMUM BURMANNI (NEES & T.NEES) BLUME	""
CINNAMOMUM KIAMIS WHOLE	""
CAMPHORA CAMPHORA	""
CINNAMOMUM OFFICINARUM WHOLE	""
CAMPHOR LAUREL	""
CINNAMOMUM CAMPHORA WHOLE	""
CAMPHORWOOD	""
CAMPHOR [HOC]	""
CINNAMOMUM TAQUETII WHOLE	""
CAMPHOR LAUREL WHOLE	""
CAMPHORA VERA WHOLE	""
CAMPHORA HAHNEMANNII WHOLE	""
CAMPHORA TREE	""
CINNAMOMUM CAMPHORA (L.) J.PRESL	""
CAMPHORINA CAMPHORA WHOLE	""
CAMPHORTREE WHOLE	""
CINNAMOMUM CAMPHORA [WHO-DD]	""
BENTHAMIA FLORIDA WHOLE	""
CAMPHORA HIPPOCRATEI WHOLE	""
LAURUS CAMPHORA	""
CINNAMOMUM CAMPHORIFERUM WHOLE	""
LAURUS CAMPHORA WHOLE	""
LAURUS CAMPHORIFERA WHOLE	""
CAMPHOR TREE WHOLE	""
CAMPHORA CAMPHORA WHOLE	""
LAURUS GRACILIS WHOLE	""
CAMPHORA OFFICINARUM WHOLE	""
PERSEA CAMFORA WHOLE	""
KARPURA WHOLE	""
CAMPHORA OFFICINALIS WHOLE	""
CINNAMONUM CAMPHORA	""
CAMPHOR WHOLE	""
LAURUS CALYCINA WHOLE	""
CINNAMOMUM CAMPHOROIDES WHOLE	""
CIRSIUM OVIFORME WHOLE	""
CIRSIUM VELENOWSKYI WHOLE	""
CIRSIUM DINARICUM WHOLE	""
CNICUS SPINOSISSIMUS WHOLE	""
CIRSIUM CHATENIERI WHOLE	""
CARDUUS SPURIUS WHOLE	""
EPITRACHYS PROPONTICA WHOLE	""
CNICUS CINAROIDES WHOLE	""
CIRSIUM PROPONTICUM WHOLE	""
CARTHAMUS FEROX WHOLE	""
CARDUUS TOMENTOSUS WHOLE	""
CNICUS ERIOPHORUS WHOLE	""
CARDUUS ERIOPHORUS WHOLE	""
CIRSIUM ERIOPHORUM WHOLE	""
CIRSIUM INSUBRICUM WHOLE	""
CIRSIUM ERIOPHORUM (L.) SCOP.	""
CIRSIUM VANDASII WHOLE	""
CIRSIUM CHODATII WHOLE	""
CIRSIUM ERIOCEPHALUM WHOLE	""
CISTUS PHILOTHEI WHOLE	""
CISTUS UNDULATUS WHOLE	""
CISTUS ROTUNDIFOLIUS WHOLE	""
CISTUS GARGANICUS WHOLE	""
CISTUS DUNALIANUS WHOLE	""
CISTUS POLYMORPHUS WHOLE	""
CISTUS CUPANIANUS WHOLE	""
PINK ROCK-ROSE WHOLE	""
CISTUS COMPLICATUS WHOLE	""
CRETAN ROCKROSE WHOLE	""
CISTUS CORSICUS WHOLE	""
CISTUS CRETICUS [WHO-DD]	""
CISTUS CRETICUS WHOLE	""
HOARY ROCK-ROSE WHOLE	""
CISTUS CRETICUS L.	""
CISTUS VULGARIS WHOLE	""
CISTUS VILLOSUS WHOLE	""
COLOCYNTHIS ECIRRHOSUS WHOLE	""
CITRULLUS ECIRRHOSUS WHOLE	""
CITRULLUS ECIRRHOSUS COGN.	""
CITRULLUS LANATUS WHOLE	""
CITRULLUS LANATUS SUBSP. VULGARIS WHOLE	""
CITRULLUS LANATUS (THUNB.) MATSUM. & NAKAI	""
CITRULLUS LANATUS [WHO-DD]	""
WATERMELON [HOC]	""
CITRULLUS LANATUS VAR. LANATUS WHOLE	""
CITRUS X IWAIKAN WHOLE	""
CITRUS X ANONYMA WHOLE	""
AURANTIUM X ORIENTALE WHOLE	""
CITRUS X AURANTIUM WHOLE	""
CITRUS X PARADISI [WHO-DD]	""
CITRUS AURANTIUM L.	""
CITRUS TAROGAYO WHOLE	""
CITRUS LEIOCARPA WHOLE	""
CITRUS KERAJI WHOLE	""
CITRUS X DULCIMEDULLA WHOLE	""
CITRUS PSEUDOGRANDIS WHOLE	""
CITRUS X FLORIDA WHOLE	""
CITRUS SINOGRANDIS WHOLE	""
CITRUS X FUNADOKO WHOLE	""
CITRUS X AMARA WHOLE	""
AURANTIUM X VARIEGATUM WHOLE	""
CITRUS TANGELO WHOLE	""
CITRUS X MEDIOGLOBOSA WHOLE	""
CITRUS X CANALICULATA WHOLE	""
CITRUS X SULCATA WHOLE	""
CITRUS X KARNA WHOLE	""
CITRUS X AURANTIUM L. (PRO SP.) (MAXIMA X RETICULATA)	""
CITRUS AURANTIUM WHOLE	""
AURANTIUM X SINENSE WHOLE	""
CITRUS X AURANTIUM L.	""
MARMALADE ORANGE WHOLE	""
CITRUS X YATSUSHIRO WHOLE	""
CITRUS X ROKUGATSU WHOLE	""
CITRUS TAMURANA WHOLE	""
CITRUS X RETICULATA WHOLE	""
AURANTIUM X MYRTIFOLIUM WHOLE	""
AURANTIUM X CORNICULATUM WHOLE	""
CITRUS X RESHNI WHOLE	""
CITRUS SUBCOMPRESSA WHOLE	""
CITRUS X HUMILIS WHOLE	""
CITRUS X MYRTIFOLIA WHOLE	""
AURANTIUM X ACRE WHOLE	""
AURANTIUM X CORONATUM WHOLE	""
CITRUS X NATSUDAIDAI WHOLE	""
CITRUS X INTERMEDIA WHOLE	""
CITRUS X BENIKOJI WHOLE	""
CITRUS X GLABERRIMA WHOLE	""
CITRUS X NOBILIS WHOLE	""
CITRUS X TOSA-ASAHI WHOLE	""
CITRUS X PSEUDOGULGUL WHOLE	""
BIGARADE ORANGE WHOLE	""
SOUR ORANGE WHOLE	""
CITRUS X AURANTIUM L. (PRO. SP.)	""
CITRUS X OMIKANTO WHOLE	""
CITRUS X KOTOKAN WHOLE	""
CITRUS X RACEMOSA WHOLE	""
AURANTIUM X BIGARELLA WHOLE	""
CITRUS UJUKITSU WHOLE	""
CITRUS X RUMPHII WHOLE	""
CITRUS X TAIWANICA WHOLE	""
BITTER ORANGE [HOC]	""
CITRUS TENGU WHOLE	""
CITRUS ASAHIKAN WHOLE	""
CITRUS X PARADISI WHOLE	""
GRAPEFRUIT [HOC]	""
CITRUS X CALOT WHOLE	""
CITRUS X SUBCOMPRESSA WHOLE	""
CITRUS X FUSCA WHOLE	""
AURANTIUM X HUMILE WHOLE	""
CITRUS X DAIDAI WHOLE	""
AURANTIUM X SILVESTRE WHOLE	""
CITRUS X MITSUHARU WHOLE	""
CITRUS X TRUNCATA WHOLE	""
CITRUS X YUGE-HYOKAN WHOLE	""
CITRUS X CHANGSHAN-HUYOU WHOLE	""
BITTER ORANGE WHOLE	""
SEVILLE ORANGE WHOLE	""
CITRUS AMPULLACEA WHOLE	""
CITRUS X BIGARADIA WHOLE	""
CITRUS IYO WHOLE	""
CITRUS X COMMUNIS WHOLE	""
TANGERINE WHOLE	""
CITRUS VANGASY WHOLE	""
CITRUS RETICULATA WHOLE	""
CITRUS VANGASAY WHOLE	""
CITRUS RETICULATA [WHO-DD]	""
CITRUS RETICULATA BLANCO	""
TANGERINE [HOC]	""
CITRUS AURANTIUM (SWEET ORANGE GROUP) WHOLE	""
ORANGE WHOLE	""
CITRUS SINENSIS WHOLE	""
CITRUS X SINENSIS WHOLE	""
SWEET ORANGE WHOLE	""
CITRUS SINENSIS (L.) OSBECK	""
CITRUS X AURANTIUM VAR. SINENSIS WHOLE	""
ORANGE [HOC]	""
CITRUS MACRACANTHA WHOLE	""
BLOOD ORANGE WHOLE	""
CLADIUM MARISCUS WHOLE	""
SWAMP SAWGRASS WHOLE	""
SCHOENUS MARISCUS WHOLE	""
CLADIUM MARISCUS (L.) POHL	""
CLARKIA PURPUREA (CURTIS) A.NELSON & J.F.MACBR.	""
CLARKIA ROMANZOWII WHOLE	""
GODETIA ROMANZOWII WHOLE	""
WINECUP CLARKIA WHOLE	""
OENOTHERA PURPUREA WHOLE	""
GODETIA PURPUREA WHOLE	""
CLARKIA PURPUREA WHOLE	""
OENOTHERA ROMANZOWII WHOLE	""
ONAGRA PURPUREA WHOLE	""
CLEMATIS SCABIOSIFOLIA WHOLE	""
CLEMATOPSIS VILLOSA WHOLE	""
CLEMATIS STUHLMANNII WHOLE	""
CLEMATIS SAPINII WHOLE	""
CLEMATIS VILLOSA DC.	""
CLEMATOPSIS ARGENTEA WHOLE	""
CLEMATOPSIS STUHLMANNII WHOLE	""
CLEMATOPSIS SAPINII WHOLE	""
CLEMATIS ARGENTEA WHOLE	""
CLEMATIS VILLOSA WHOLE	""
CLEMATIS MECHOWIANA WHOLE	""
CLEMATOPSIS SCABIOSIFOLIA WHOLE	""
JUSTICIA FULGIDA WHOLE	""
CLINACANTHUS NUTANS (BURM.F.) LINDAU	""
BELOPERONE FULGIDA WHOLE	""
CLINACANTHUS SIAMENSIS WHOLE	""
CLINACANTHUS BURMANNI WHOLE	""
CLINACANTHUS NUTANS WHOLE	""
CLINACANTHUS NUTANS WHOLE PLANT [WHO DD]	""
CLINOPODIUM BOLIVIANUM (BENTH.) KUNTZE	""
CLINOPODIUM BOLIVIANUM WHOLE	""
XENOPOMA BOLIVIANUM WHOLE	""
MICROMERIA BOLIVIANA WHOLE	""
SATUREJA BOLIVIANA WHOLE	""
MELISSA NEPETA WHOLE	""
SATUREJA NEPETA WHOLE	""
NEPITELLA WHOLE	""
LESSER CALAMINT WHOLE	""
CALAMINTHA NEPETA WHOLE	""
CALAMINTHA NEPETA [WHO-DD]	""
THYMUS NEPETA WHOLE	""
MENTUCCIA WHOLE	""
CLINOPODIUM NEPETA (L.) KUNTZE	""
CLINOPODIUM NEPETA WHOLE	""
NIPITELLA WHOLE	""
LESSER CALAMINT [HOC]	""
DENG LONG CAO WHOLE	""
CLINOPODIUM POLYCEPHALUM WHOLE	""
CALAMINTHA POLYCEPHALA WHOLE	""
CALAMINTHA TSACAPANENSIS WHOLE	""
CLINOPODIUM POLYCEPHALUM [WHO-DD]	""
CLINOPODIUM POLYCEPHALUM (VANIOT) C.Y.WU & S.J.HSUAN	""
CLITORIA MARIANA WHOLE	""
VEXILLARIA MARIANA WHOLE	""
CLITORIA MARIANA L.	""
NAUCHEA MARIANA WHOLE	""
ATLANTIC PIGEONWINGS WHOLE	""
BUTTERFLY-PEA WHOLE	""
TERNATEA MARIANA WHOLE	""
MARTIUSIA MARIANA WHOLE	""
CLITORIA GRAHAMII WHOLE	""
PIGEONWINGS WHOLE	""
ICOSTEGIA FLAVA WHOLE	""
CLUSIA FLAVA JACQ.	""
CLUSIA FLAVA WHOLE	""
CLUSIA SUBORBICULARIS WHOLE	""
JUSSIEUIA HERBACEA WHOLE	""
JATROPHA URENS [HPUS]	""
JATROPHA URENS	""
CNIDOSCOLUS URENS	""
CNIDOSCOLUS URENS WHOLE	""
BIVONEA URENS WHOLE	""
JATROPHA URENS WHOLE	""
CNIDOSCOLUS URENS (L.) ARTHUR	""
JANIPHA URENS WHOLE	""
MANIHOT URENS WHOLE	""
COCCINIA HIRTELLA COGN.	""
COCCINIA HIRTELLA WHOLE	""
MIRACLE GRASS WHOLE	""
FIVE-WHOLE GINSENG WHOLE	""
CODONOPSIS VOLUBILIS WHOLE	""
CAMPANUMOEA PILOSULA WHOLE	""
GOSPEL HERB WHOLE	""
BELLFLOWER WHOLE	""
CODONOPSIS PILOSULA (FRANCH.) NANNF.	""
JIAO GU LAN WHOLE	""
CODONOPSIS PILOSULA [WHO-DD]	""
CODONOPSIS GLABERRIMA WHOLE	""
CODONOPSIS HANDELIANA WHOLE	""
POOR MAN'S GINSENG WHOLE	""
SOUTHERN GINSENG WHOLE	""
CODONOPSIS PILOSULA SUBSP. PILOSULA WHOLE	""
SWEET-TEA VINE WHOLE	""
FAIRY HERB WHOLE	""
JIAOGULAN WHOLE	""
PENTA TEA WHOLE	""
CODONOPSIS (CODONOPSIS PILOSULA) [HOC]	""
CODONOPSIS SILVESTRIS WHOLE	""
PANTA TEA WHOLE	""
CODONOPSIS SILVESTRIS	""
CODONOPSIS MODESTA WHOLE	""
CODONOPSIS PILOSULA WHOLE	""
SWEET TEA VINE WHOLE	""
VITIS PENTAPHYLLA WHOLE	""
BLUE GINSENG WHOLE	""
COLA NITIDA (VENT.) A. CHEV.	""
COLA NITIDA WHOLE	""
COLA NITIDA (VENT.) SCHOTT & ENDL.	""
STERCULIA COLA WHOLE	""
STERCULIA NITIDA WHOLE	""
BICHEA NITIDA WHOLE	""
BRAXIPIS NITIDA WHOLE	""
COLA (COCA NITIDA) [HOC]	""
COLA VERA WHOLE	""
SMALLFLOWER BLUE EYED MARY WHOLE	""
COLLINSIA PAUCIFLORA WHOLE	""
MAIDEN BLUE EYED MARY WHOLE	""
SMALL-FLOWER BLUE-EYED MARY WHOLE	""
COLLINSIA MINIMA WHOLE	""
COLLINSIA PARVIFLORA DOUGLAS EX LINDL.	""
LITTLEFLOWER COLLINSIA WHOLE	""
COLLINSIA PARVIFLORA WHOLE	""
COLLINSIA DIEHLII WHOLE	""
BLUE-EYED MARY WHOLE	""
COLLOMIA STENOSIPHON WHOLE	""
COLLOMIA LINEARIS NUTT.	""
GILIA LINEARIS WHOLE	""
NAVARRETIA LINEARIS WHOLE	""
COLLOMIA LINEARIS WHOLE	""
NARROWLEAF MOUNTAINTRUMPET WHOLE	""
HOITZIA LINEARIS WHOLE	""
TINY TRUMPET WHOLE	""
COLLOMIA LANCEOLATA WHOLE	""
COLLOMIA LATERITIA WHOLE	""
NARROW-LEAF MOUNTAIN-TRUMPET WHOLE	""
SLENDERLEAF COLLOMIA WHOLE	""
COMBRETUM HOBOL WHOLE	""
COMBRETUM GONDENSE WHOLE	""
COMBRETUM TENUISPISCATUM WHOLE	""
TERMINALIA HIRTA WHOLE	""
COMBRETUM VERNICOSUM WHOLE	""
COMBRETUM NYIKAE WHOLE	""
COMBRETUM TRICHANTHUM WHOLE	""
COMBRETUM LEPIDOTUM WHOLE	""
COMBRETUM GALPINII WHOLE	""
COMBRETUM DEKINDTIANA WHOLE	""
COMBRETUM PETITIANUM WHOLE	""
COMBRETUM ARBUSCULA WHOLE	""
COMBRETUM SCHELEI WHOLE	""
COMBRETUM DESERTI WHOLE	""
COMBRETUM BOEHMII WHOLE	""
COMBRETUM ELLIPTICUM WHOLE	""
COMBRETUM QUARTINIANUM WHOLE	""
COMBRETUM MOLLE WHOLE	""
COMBRETUM MOLLE R.BR. EX G.DON	""
COMBRETUM FERRUGINEUM WHOLE	""
COMBRETUM WELWITSCHII WHOLE	""
COMBRETUM MICROLEPIDOTUM WHOLE	""
COMBRETUM INSCULPTUM WHOLE	""
COMBRETUM MINIMIPETALUM WHOLE	""
COMBRETUM SOKODENSE WHOLE	""
COMBRETUM ULUGURENSE WHOLE	""
COMBRETUM SOMALENSE WHOLE	""
COMBRETUM SPLENDENS WHOLE	""
COMBRETUM GUEINZII WHOLE	""
COMBRETUM VELUTINUM WHOLE	""
COMBRETUM ANKOLENSE WHOLE	""
COMBRETUM ATELANTHUM WHOLE	""
COMBRETUM OBTUSATUM WHOLE	""
COMBRETUM ARENGENSE WHOLE	""
COMBRETUM SCHIMPERIANUM WHOLE	""
COMBRETUM HOLOSERICEUM WHOLE	""
COMBRETUM HOLTZII WHOLE	""
INDIAN DAYFLOWER WHOLE	""
JIO WHOLE	""
COMMELINA PROCURRENS WHOLE	""
COMMELINA ACUMINATA WHOLE	""
COMMELINA UNCATA WHOLE	""
HAIRY WANDERING-JEW WHOLE	""
COMMELINA CAVALERIEI WHOLE	""
COMMELINA RUFOCILIATA WHOLE	""
COMMELINA OBSCURA WHOLE	""
COMMELINA NERVOSA WHOLE	""
COMMELINA RADICIFLORA WHOLE	""
COMMELINA DELICATULA WHOLE	""
COMMELINA VILLOSIUSCULA WHOLE	""
COMMELINA MOLLIS WHOLE	""
COMMELINA PROSTRATA WHOLE	""
COMMELINA CANESCENS WHOLE	""
COMMELINA RHIZOCARPA WHOLE	""
KANCHARA WHOLE	""
COMMELINA TURBINATA WHOLE	""
COMMELINA PYRRHOBLEPHARIS WHOLE	""
TROPICAL SPIDERWORT WHOLE	""
WANDERING-JEW WHOLE	""
COMMELINA BENGHALENSIS WHOLE	""
COMMELINA BENGHALENSIS L.	""
BENGHAL DAYFLOWER WHOLE	""
COMMELINA POLIGAMA WHOLE	""
INDIAN DAYFLOWER [HOC]	""
COMMELINA CUCULLATA WHOLE	""
COMMELINA SENEGALENSIS WHOLE	""
COMMELINA KILIMANDSCHARICA WHOLE	""
DAYFLOWER WHOLE	""
COMMELINA HIRSUTA WHOLE	""
COMMELINA AQUATICA WHOLE	""
COMMELINA PILOSULA WHOLE	""
COMMELINA OBTUSIFOLIA WHOLE	""
COMMELINA SELLOWIANA WHOLE	""
COMMELINA GRACILIS WHOLE	""
CLIMBING DAYFLOWER WHOLE	""
COMMELINA PACIFICA WHOLE	""
COMMELINA DIFFUSA BURM.F.	""
COMMELINA WERNEANA WHOLE	""
