"name"	"common_name"
EQUISETUM HYEMALE [HPUS]	HORSETAIL
SCOURING HORSETAIL WHOLE	HORSETAIL
ROUGH HORSETAIL	HORSETAIL
GLYCYRRHIZA OFFICINALIS WHOLE	LICORICE
GLYCYRRHIZA BRACHYCARPA WHOLE	LICORICE
SPANISH LIQUORICE WHOLE	LICORICE
GLYCYRRHIZA URALENSIS FISCH. EX DC.	LICORICE
GLYCYRRHIZA VULGARIS WHOLE	LICORICE
MERISTOTROPIS PAUCIFLORA WHOLE	LICORICE
WU LA GAN CAO WHOLE	LICORICE
SPANISH LICORICE WHOLE	LICORICE
GLYCYRRHIZA GLABRA L.	LICORICE
URAL LICORICE WHOLE	LICORICE
CHINESE LICORICE (GLYCYRRHIZA INFLATA) [HOC]	LICORICE
GLYCYRRHIZA INFLATA WHOLE	LICORICE
MERISTOTROPIS PAUCIFOLIOLATA WHOLE	LICORICE
XINJIANG LICORICE WHOLE	LICORICE
GAN CAO WHOLE	LICORICE
GLYCYRRHIZA EURYCARPA WHOLE	LICORICE
LIQUIRITIA OFFICINALIS WHOLE	LICORICE
GLYCYRRHIZA GLANDULIFERA WHOLE	LICORICE
TURKISH LICORICE WHOLE	LICORICE
GLYCYRRHIZA HIRSUTA WHOLE	LICORICE
GUANG GUO GAN CAO WHOLE	LICORICE
GLYCYRRHIZA GLABRA WHOLE	LICORICE
RUSSIAN LICORICE WHOLE	LICORICE
GLYCYRRHIZA URALENSIS [WHO-DD]	LICORICE
COMMON LICORICE WHOLE	LICORICE
YASHTIMADHU WHOLE	LICORICE
LICORICE (GLYCYRRHIZA GLABRA) [HOC]	LICORICE
GLYCYRRHIZA INFLATA [WHO-DD]	LICORICE
GLYCYRRHIZA PALLIDA WHOLE	LICORICE
CULTIVATED LICORICE WHOLE	LICORICE
GLYCYRRHIZA INFLATA BATALIN	LICORICE
COMMON LIQUORICE WHOLE	LICORICE
GLYCYRRHIZA HEDINIANA WHOLE	LICORICE
