"common_name"	"latin_binomial"
HYPERICUM TRIQUETRIFOLIUM	HYPERICUM TRIQUETRIFOLIUM
VICIA SATIVA	VICIA SATIVA
PALIURUS SPINA-CHRISTI	PALIURUS SPINA-CHRISTI
CURCUMA ZEDOARIA	CURCUMA ZEDOARIA
ULMUS MINOR	ULMUS MINOR
ERICA MULTIFLORA	ERICA MULTIFLORA
EUPHORBIA ANTISYPHILITICA	EUPHORBIA ANTISYPHILITICA
SPARTIUM JUNCEUM	SPARTIUM JUNCEUM
VIBURNUM OPULUS	VIBURNUM OPULUS
CLUSIA FLAVA	CLUSIA FLAVA
MIMOSA PUDICA	MIMOSA PUDICA
ANEMOPSIS CALIFORNICA	ANEMOPSIS CALIFORNICA
SAPOSHNIKOVIA DIVARICATA	SAPOSHNIKOVIA DIVARICATA
BAUHINIA LONGIFOLIA	BAUHINIA LONGIFOLIA
CITRULLUS ECIRRHOSUS	CITRULLUS ECIRRHOSUS
ILEX VOMITORIA	ILEX VOMITORIA
DIOSCOREA PRAEHENSILIS	DIOSCOREA PRAEHENSILIS
CYANTHILLIUM CINEREUM	CYANTHILLIUM CINEREUM
ACTAEA RACEMOSA	ACTAEA RACEMOSA
URARIA CRINITA	URARIA CRINITA
INONOTUS OBLIQUUS	INONOTUS OBLIQUUS
SENNA ITALICA	SENNA ITALICA
TANACETUM PARTHENIUM	TANACETUM PARTHENIUM
ULMUS AMERICANA	ULMUS AMERICANA
SENNA	SENNA ALEXANDRINA
COPTIS	COPTIS CHINENSIS
HYPERICUM GENTIANOIDES	HYPERICUM GENTIANOIDES
MAMMEA AMERICANA	MAMMEA AMERICANA
MAGNOLIA OFFICINALIS	MAGNOLIA OFFICINALIS
OENANTHE AQUATICA	OENANTHE AQUATICA
ACHILLEA MILLEFOLIUM	ACHILLEA MILLEFOLIUM
QUERCUS NIGRA	QUERCUS NIGRA
ALOCASIA MACRORRHIZOS	ALOCASIA MACRORRHIZOS
GLYCYRRHIZA GLABRA	LICORICE
DITRYSINIA FRUTICOSA	DITRYSINIA FRUTICOSA
GUGGUL	GUGGUL
TUSSILAGO FARFARA	TUSSILAGO FARFARA
SAMBUCUS NIGRA	SAMBUCUS NIGRA
EQUISETUM ARVENSE	EQUISETUM ARVENSE
TABERNAEMONTANA DIVARICATA	TABERNAEMONTANA DIVARICATA
ATRIPLEX NUMMULARIA	ATRIPLEX NUMMULARIA
AFRAMOMUM ANGUSTIFOLIUM	AFRAMOMUM ANGUSTIFOLIUM
PERSICARIA PUNCTATA	PERSICARIA PUNCTATA
CORDYCEPS	CORDYCEPS
CHRYSOJASMINUM FRUTICANS	CHRYSOJASMINUM FRUTICANS
POLYGALA AMARA	POLYGALA AMARA
HYGROPHILA COSTATA	HYGROPHILA COSTATA
JUNCUS EFFUSUS	JUNCUS EFFUSUS
BERBERIS AQUIFOLIUM	BERBERIS AQUIFOLIUM
GENTIANA LUTEA	GENTIANA LUTEA
MELIA AZEDARACH	MELIA AZEDARACH
BLACK PEPPER	PIPER NIGRUM
ULMUS RUBRA	ULMUS RUBRA
SCOLYMUS HISPANICUS	SCOLYMUS HISPANICUS
ARDISIA CRENATA	ARDISIA CRENATA
ARALIA SPINOSA	ARALIA SPINOSA
LIMNOPHYTON OBTUSIFOLIUM	LIMNOPHYTON OBTUSIFOLIUM
FICUS CARICA	FICUS CARICA
GLAUCIUM FLAVUM	GLAUCIUM FLAVUM
CLITORIA MARIANA	CLITORIA MARIANA
THONNINGIA SANGUINEA	THONNINGIA SANGUINEA
ILEX CRENATA	ILEX CRENATA
MORUS RUBRA	MORUS RUBRA
CORIANDRUM SATIVUM	CORIANDRUM SATIVUM
PIPER SARMENTOSUM	PIPER SARMENTOSUM
ALPINIA OFFICINARUM	ALPINIA OFFICINARUM
HIPPOPHAE SALICIFOLIA	HIPPOPHAE SALICIFOLIA
GERANIUM WILFORDII	GERANIUM WILFORDII
COCCINIA HIRTELLA	COCCINIA HIRTELLA
INDIGOFERA HIRSUTA	INDIGOFERA HIRSUTA
OXALIS ACETOSELLA	OXALIS ACETOSELLA
SISYMBRIUM OFFICINALE	SISYMBRIUM OFFICINALE
CROTALARIA PALLIDA	CROTALARIA PALLIDA
CENTRANTHUS RUBER	CENTRANTHUS RUBER
GLADIOLUS DALENII	GLADIOLUS DALENII
NUPHAR LUTEA	NUPHAR LUTEA
EUCALYPTUS ODORATA	EUCALYPTUS ODORATA
AESCULUS PAVIA	AESCULUS PAVIA
CUPHEA CARTHAGENENSIS	CUPHEA CARTHAGENENSIS
TILLANDSIA USNEOIDES	TILLANDSIA USNEOIDES
BRASSICA RAPA	BRASSICA RAPA
LACTUCA INDICA	LACTUCA INDICA
IRIS VIRGINICA	IRIS VIRGINICA
QUERCUS ALBA	QUERCUS ALBA
SILENE LATIFOLIA	SILENE LATIFOLIA
ERUCA VESICARIA	ERUCA VESICARIA
FRAXINUS AMERICANA	FRAXINUS AMERICANA
PICEA ABIES	PICEA ABIES
SCROPHULARIA UMBROSA	SCROPHULARIA UMBROSA
ARTEMISIA HERBA-ALBA	ARTEMISIA HERBA-ALBA
DELONIX REGIA	DELONIX REGIA
GARCINIA	GARCINIA GERRARDII
TRIPSACUM DACTYLOIDES	TRIPSACUM DACTYLOIDES
DESMODIUM GLUTINOSUM	DESMODIUM GLUTINOSUM
SALVIA VERBENACA	SALVIA VERBENACA
PRUNUS PERSICA	PRUNUS PERSICA
ZANTHOXYLUM ARMATUM	ZANTHOXYLUM ARMATUM
ACER PICTUM	ACER PICTUM
STYELA CLAVA	STYELA CLAVA
BERBERIS ARISTATA	BARBERRY
CROTALARIA JUNCEA	CROTALARIA JUNCEA
SENECIO FISTULOSUS	SENECIO FISTULOSUS
SALIX NIGRA	SALIX NIGRA
ECHINACEA PURPUREA	ECHINACEA PURPUREA
HELICHRYSUM GYMNOCEPHALUM	HELICHRYSUM GYMNOCEPHALUM
EUPATORIUM FORTUNEI	EUPATORIUM FORTUNEI
DROSERA INTERMEDIA	DROSERA INTERMEDIA
CENTAUREA BENEDICTA	CENTAUREA BENEDICTA
RHEUM ACUMINATUM	RHEUM ACUMINATUM
FICUS SUR	FICUS SUR
CORYDALIS BUNGEANA	CORYDALIS BUNGEANA
QUERCUS FALCATA	QUERCUS FALCATA
TAMARIX CHINENSIS	TAMARIX CHINENSIS
SAPONARIA OFFICINALIS	SAPONARIA OFFICINALIS
BUPLEURUM CHINENSE	BUPLEURUM CHINENSE
SWERTIA LEDUCII	SWERTIA LEDUCII
ROBINIA PSEUDOACACIA	ROBINIA PSEUDOACACIA
BARBERRY	BARBERRY
COMBRETUM MOLLE	COMBRETUM MOLLE
BLACK PEPPER	BLACK PEPPER
SENNA	SENNA
AMORPHA FRUTICOSA	AMORPHA FRUTICOSA
PSEUDOGNAPHALIUM OBTUSIFOLIUM	PSEUDOGNAPHALIUM OBTUSIFOLIUM
