"concept_id","np_name"
-7993258,FOENICULUM VULGARE
-7995404,BRASSICA RAPA
-7995583,BUCERAS ODORATISSIMA WHOLE
-7997742,HONG SHEN WHOLE
-7996664,SYRIAN OREGANO
-7997114,GLYCYRRHIZA INFLATA BATALIN
-7993262,FOENICULUM PIPERITUM WHOLE
-7990645,MEDICAGO BERTEROANA WHOLE
-7991213,SPOTTED CRANE'S-BILL WHOLE
-7994516,BRAUNERIA PURPUREA  BRITTON
-7997541,FALSE ACACIA WHOLE
-7998236,RHEUM EMODI WHOLE
-7992571,EUTERPE OLERACEA MART.
-7996844,BRAHEA SERRULATA WHOLE
-7996392,CURCUMA ZEDOARIA WHOLE
-7993679,URENA LOBATA
-7997322,CAPPARIS OVATA WHOLE
-7995333,BARDANA ARCTIUM WHOLE
-7997997,ARECA CATECHU
-7990675,SCENTED CHAMOMILE
-7998829,PAPOOSE-ROOT WHOLE
-7990894,VIBURNUM OPULUS VAR. OPULUS WHOLE
-7998031,MENTHA PULEGIUM
-7990656,VALERIAN
-7997128,ATRACTYLODES EROSODENTATA WHOLE
-7999298,COCKLEBUR WHOLE
-7999080,WART WEED WHOLE
-7992671,CITRUS X PARADISI
-7993955,SHAME BUSH WHOLE
-7991507,ALCHEMILLA GOTTSTEINIANA WHOLE
-7996758,BONAGA SPINOSA WHOLE
-7996406,NEPALESE BARBERRY WHOLE
-7993791,CYPERUS PSEUDOVARIEGATUS WHOLE
-7991014,SEDUM ROSEA WHOLE
-7993771,NUT GRASS WHOLE
-7992124,BEAUMARIA MACQUI WHOLE
-7995712,RHEUM PALMATUM
-7990965,SASSAFRAS VARIIFOLIUM WHOLE
-7993613,RUELLIA ARTICULATE WHOLE
-7991643,CLINOPODIUM MONTANUM WHOLE
-7999571,ARTEMISIA PENDULA WHOLE
-7998253,KINNIKINNICK
-7997426,SALVIA PRATENSIS L.
-7992720,AURANTIUM X VARIEGATUM WHOLE
-7993245,GOBO
-7998015,PULEGIUM DAGHESTANICUM WHOLE
-7991695,SCOTCH PINE
-7991499,LADY'S MANTLE
-7997394,SWEET FLAG WHOLE
-7998148,LONICERA CHINENSIS WHOLE
-7992530,CITRUS RETICULATA BLANCO
-7994685,SICILIAN SUMAC WHOLE
-7995143,GAVILANA
-7991701,YERBA MATE
-7993759,SUO CAO WHOLE
-7998965,RICINOPHYLLUM HORRIDUM WHOLE
-7990787,ANETHUM GRAVEOLENS L.
-7992786,COMMON GRAPEVINE
-7998752,MATRICARIA SUAVEOLENS WHOLE
-7997710,CRUCIANELLA PURPUREA WHOLE
-7997723,APARINE VULGARIS WHOLE
-7990664,POTLOODSEDER
-7992922,ABIES DUPLEX WHOLE
-7995650,BIGNONIA HEPTAPHYLLA WHOLE
-7991540,COMMON POKEBERRY WHOLE
-7999193,LEPIDIUM ORBIGNYANUM WHOLE
-7991520,VIRGINIA POKE
-7996213,CESTRACION OCEANICA WHOLE
-7994834,VITIS ROTUNDIFOLIA WHOLE
-7992870,BLACK PEPPER
-7992370,MARIANA LACTEA WHOLE
-7992416,CASTANEA VULGARIS VAR. AMERICANA WHOLE
-7993623,HYDROTRIDA BECCABUNGA WHOLE
-7993689,URENA ACULEATA WHOLE
-7992180,LESSER GALANGA
-7997225,PRUNUS DAEMONIFUGA WHOLE
-7998569,ERYTHRAEA CAPITATA WHOLE
-7990954,AMERICAN ELDER WHOLE
-7995317,GREATER BURRDOCK WHOLE
-7996380,ERIODICTYON CALIFORNICUM  DECNE.
-7993695,MEADOW SAGE
-7995622,MAGNOLIA GRANDIFLORA WHOLE
-7993450,SALVIA GRANDIFLORA WHOLE
-7993081,BIDENS LEUCANTHEMUS WHOLE
-7995246,GOSPEL HERB WHOLE
-7997270,ELEUTHEROCOCCUS SENTICOSUS
-7991137,JU
-7992506,CASTALIA ALBA WHOLE
-7996296,JUNIPERUS FRAGRANS WHOLE
-7999142,ADIANTUM LATIFOLIUM WHOLE
-7995959,CAPSELLA DRUCEANA WHOLE
-7994924,MOMORDICA SINENSIS WHOLE
-7998559,ERYTHRAEA VULGARIS WHOLE
-7997724,APARINE HISPIDA WHOLE
-7995555,ASHVAGANDBA WHOLE
-7993345,ALLIUM NAPUS WHOLE
-7991384,DA HUA LONG YA CAO
-7993278,ANETHUM FOENICULUM WHOLE
-7997849,WITCH HAZEL
-7994991,ULMUS WHEATLEYI WHOLE
-7995429,BIRDSRAPE MUSTARD WHOLE
-7993244,GOBOSHI
-7991027,HONG JING TIAN
-7995951,CAPSELLA FUCORUM WHOLE
-7996401,COSTUS LUTEUS WHOLE
-7990998,BLACK CHERRY WHOLE
-7995600,FUMARIA DIFFUSA WHOLE
-7992507,AMERICAN WHITE WATERLILY WHOLE
-7993876,TANSY
-7992767,VITIS CYLINDRICA WHOLE
-7992812,SICHUAN PAGODA-TREE
-7993096,BIDENS ARENARIA WHOLE
-7998289,PAULLINIA CUPANA WHOLE
